algo,seed,approach,approach_label,run_directory,mean_reward,reward_std_across_tests,mean_success_rate,mean_collision_rate,mean_completion_rate,mean_reward_std_within_tests,training_time_sec,training_time_min,training_time_hr,total_timesteps,reward_per_1k_steps,reward_per_min,standardized_reward,relative_training_time
DQN,0,non_curriculum,Non-Curriculum,experiments/DQN/noncurriculum/seed_0/run_20251205_093012,59.97453498840332,82.41916189386949,0.5,0.5000000000000001,0.6933333333333334,16.1996914545695,2371.654856443405,39.52758094072342,0.6587930156787236,100000.0,0.5997453498840332,1.5172832124066151,-0.9999999970361196,1.1439401028245355
DQN,0,curriculum,Curriculum,experiments/DQN/curriculum/seed_0/run_20251205_101901,66.72244572639465,67.13614769376801,0.5,0.5,0.80375,19.648056834936142,2073.2334241867065,34.55389040311177,0.5758981733851962,95000.0,0.702341533962049,1.9309676840436445,0.9999999970361196,1.0
SimpleDQN,0,non_curriculum,Non-Curriculum,experiments/SimpleDQN/noncurriculum/seed_0/run_20251205_105931,64.81838750839233,93.10085186441779,0.5666666666666665,0.4333333333333334,0.6683333333333334,12.033547004063925,2728.2188923358917,45.470314872264865,0.7578385812044144,100000.0,0.6481838750839234,1.4255099770142354,-0.9999999945989201,1.0
SimpleDQN,0,curriculum,Curriculum,experiments/SimpleDQN/curriculum/seed_0/run_20251205_115612,68.52135062217712,62.850429305651325,0.45,0.55,0.8325,20.42664659023285,3081.216576576233,51.35360960960388,0.855893493493398,100000.0,0.6852135062217712,1.334304465510495,0.9999999945989201,1.1293875961463289
PPO,0,non_curriculum,Non-Curriculum,experiments/PPO/noncurriculum/seed_0/run_20251205_125827,68.9275008837382,89.8339852205283,0.6999999999999998,0.30000000000000004,0.6875,6.787073373794556,4518.09383893013,75.30156398216883,1.2550260663694806,100000.0,0.689275008837382,0.9153528457929508,-0.9999999993545566,1.4067498589759597
PPO,0,curriculum,Curriculum,experiments/PPO/curriculum/seed_0/run_20251205_143136,99.91393160820007,103.48442218953667,0.8500000000000001,0.15000000000000002,0.8387500000000001,14.21054983139038,3211.7251052856445,53.52875175476074,0.8921458625793457,80000.0,1.2489241451025008,1.8665470113323523,0.9999999993545556,1.0
