timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
20000,-4.976424819137901,0.0,0.0,0.0,0.0035590606384028065,1000.0
30000,-11.410700664971955,0.0,1.0,1.0,1.4291092834357801,56.0
40000,-11.496015160763637,0.0,1.0,1.0,0.5309033820270808,15.0
50000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
60000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
70000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
80000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
90000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
100000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
110000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
120000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
130000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
140000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
150000,47.11731089523528,0.0,1.0,1.0,6.4899726170381795,93.0
