timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
20000,-18.166038610064426,0.0,1.0,1.0,0.5309033901968668,15.0
30000,-19.783634770527716,0.0,1.0,1.0,1.411643388909783,56.0
40000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
50000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
60000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
70000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
80000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
90000,32.52540958253667,0.0,1.0,1.0,6.144751971419743,88.0
100000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
110000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
120000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
130000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
140000,33.526333573739976,0.0,1.0,1.0,6.18178407638788,89.0
150000,32.52540958253667,0.0,1.0,1.0,6.144751971419743,88.0
160000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
170000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
180000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
190000,32.52540958253667,0.0,1.0,1.0,6.144751971419744,88.0
200000,32.52540958253667,0.0,1.0,1.0,6.144751971419745,88.0
