timesteps,mean_reward,success_rate,collision_rate,traffic_violation_rate,avg_speed,avg_episode_length
10000,-0.11055006394162774,0.0,1.0,1.0,4.251809386768569,41.0
20000,-0.9227348828688264,0.0,1.0,1.0,4.610276360211211,33.0
30000,2.794994076481089,0.0,1.0,1.0,5.124052348227652,37.0
40000,195.5276086706668,0.0,1.0,1.0,15.15657246462987,136.0
50000,77.192093949439,0.0,1.0,1.0,10.547986656776976,88.0
60000,64.293279951578,0.0,1.0,1.0,9.369172652687746,87.0
70000,66.23571998286062,0.0,1.0,1.0,10.374569720950827,80.0
80000,54.56142597603612,0.0,1.0,1.0,9.719828541266088,73.0
90000,47.65104291224852,0.0,1.0,1.0,9.331453739078645,70.0
100000,157.65437469379975,0.0,1.0,1.0,14.34504789254811,118.0
110000,265.29284894661976,0.0,1.0,0.0,16.49418522227041,164.0
120000,-10.628846869058908,0.0,1.0,1.0,2.757963870465191,19.0
130000,-6.93551573115401,0.0,1.0,1.0,3.9212329540900144,29.0
140000,258.7041859850753,0.0,1.0,0.0,16.329377657281462,162.0
150000,258.4958584300708,0.0,1.0,0.0,16.308254008683654,162.0
160000,256.0134420879185,0.0,1.0,0.0,16.0866386315278,163.0
170000,-13.093806712934747,0.0,1.0,1.0,2.8298536084691115,28.0
180000,-14.987868522503414,0.0,1.0,1.0,1.0779140692360998,74.0
190000,-9.930618738755584,0.0,0.0,0.0,0.011688323172577595,1000.0
200000,-9.931805780157447,0.0,0.0,0.0,0.011313056615667892,1000.0
